电影时间：1994 ,电影评分：9.7 ,电影评论：2695330人评价,电影名称：肖申克的救赎
电影时间：1993 ,电影评分：9.6 ,电影评论：1998839人评价,电影名称：霸王别姬      
电影时间：1994 ,电影评分：9.5 ,电影评论：2023539人评价,电影名称：阿甘正传      
电影时间：1997 ,电影评分：9.4 ,电影评论：1983121人评价,电影名称：泰坦尼克号     
电影时间：1994 ,电影评分：9.4 ,电影评论：2166484人评价,电影名称：这个杀手不太冷   
电影时间：1997 ,电影评分：9.6 ,电影评论：1242325人评价,电影名称：美丽人生      
电影时间：2001 ,电影评分：9.4 ,电影评论：2100022人评价,电影名称：千与千寻      
电影时间：1993 ,电影评分：9.6 ,电影评论：1036563人评价,电影名称：辛德勒的名单    
电影时间：2010 ,电影评分：9.4 ,电影评论：1935868人评价,电影名称：盗梦空间      
电影时间：2014 ,电影评分：9.4 ,电影评论：1639998人评价,电影名称：星际穿越      
电影时间：2009 ,电影评分：9.4 ,电影评论：1320907人评价,电影名称：忠犬八公的故事   
电影时间：1998 ,电影评分：9.3 ,电影评论：1558508人评价,电影名称：楚门的世界     
电影时间：1998 ,电影评分：9.3 ,电影评论：1576850人评价,电影名称：海上钢琴师     
电影时间：2009 ,电影评分：9.2 ,电影评论：1753240人评价,电影名称：三傻大闹宝莱坞   
电影时间：2008 ,电影评分：9.3 ,电影评论：1239611人评价,电影名称：机器人总动员    
电影时间：2004 ,电影评分：9.3 ,电影评论：1222861人评价,电影名称：放牛班的春天    
电影时间：2002 ,电影评分：9.3 ,电影评论：1255506人评价,电影名称：无间道       
电影时间：2016 ,电影评分：9.2 ,电影评论：1781386人评价,电影名称：疯狂动物城     
电影时间：1995 ,电影评分：9.2 ,电影评论：1438688人评价,电影名称：大话西游之大圣娶亲 
电影时间：2011 ,电影评分：9.3 ,电影评论：875636人评价 ,电影名称：熔炉        
电影时间：1957 ,电影评分：9.6 ,电影评论：489104人评价 ,电影名称：控方证人      
电影时间：1972 ,电影评分：9.3 ,电影评论：897111人评价 ,电影名称：教父        
电影时间：2006 ,电影评分：9.2 ,电影评论：1428518人评价,电影名称：当幸福来敲门    
电影时间：2011 ,电影评分：9.3 ,电影评论：1014655人评价,电影名称：触不可及      
电影时间：2010 ,电影评分：9.1 ,电影评论：1716925人评价,电影名称：怦然心动      
电影时间：1988 ,电影评分：9.2 ,电影评论：1186650人评价,电影名称：龙猫        
电影时间：1987 ,电影评分：9.3 ,电影评论：807117人评价 ,电影名称：末代皇帝      
电影时间：2017 ,电影评分：9.1 ,电影评论：1539360人评价,电影名称：寻梦环游记     
电影时间：2008 ,电影评分：9.2 ,电影评论：990152人评价 ,电影名称：蝙蝠侠：黑暗骑士  
