movies_name1,movies_name2
"<span class=""title"">肖申克的救赎</span>","<span class=""title"">肖申克的救赎</span>"
"<span class=""title"">霸王别姬</span>","<span class=""title"">霸王别姬</span>"
"<span class=""title"">阿甘正传</span>","<span class=""title"">阿甘正传</span>"
"<span class=""title"">泰坦尼克号</span>","<span class=""title"">泰坦尼克号</span>"
"<span class=""title"">这个杀手不太冷</span>","<span class=""title"">这个杀手不太冷</span>"
"<span class=""title"">美丽人生</span>","<span class=""title"">美丽人生</span>"
"<span class=""title"">千与千寻</span>","<span class=""title"">千与千寻</span>"
"<span class=""title"">辛德勒的名单</span>","<span class=""title"">辛德勒的名单</span>"
"<span class=""title"">盗梦空间</span>","<span class=""title"">盗梦空间</span>"
"<span class=""title"">星际穿越</span>","<span class=""title"">星际穿越</span>"
"<span class=""title"">楚门的世界</span>","<span class=""title"">楚门的世界</span>"
"<span class=""title"">忠犬八公的故事</span>","<span class=""title"">忠犬八公的故事</span>"
"<span class=""title"">海上钢琴师</span>","<span class=""title"">海上钢琴师</span>"
"<span class=""title"">三傻大闹宝莱坞</span>","<span class=""title"">三傻大闹宝莱坞</span>"
"<span class=""title"">机器人总动员</span>","<span class=""title"">机器人总动员</span>"
"<span class=""title"">放牛班的春天</span>","<span class=""title"">放牛班的春天</span>"
"<span class=""title"">无间道</span>","<span class=""title"">无间道</span>"
"<span class=""title"">疯狂动物城</span>","<span class=""title"">疯狂动物城</span>"
"<span class=""title"">大话西游之大圣娶亲</span>","<span class=""title"">大话西游之大圣娶亲</span>"
"<span class=""title"">控方证人</span>","<span class=""title"">控方证人</span>"
"<span class=""title"">熔炉</span>","<span class=""title"">熔炉</span>"
"<span class=""title"">教父</span>","<span class=""title"">教父</span>"
"<span class=""title"">当幸福来敲门</span>","<span class=""title"">当幸福来敲门</span>"
"<span class=""title"">触不可及</span>","<span class=""title"">触不可及</span>"
"<span class=""title"">怦然心动</span>","<span class=""title"">怦然心动</span>"
